table_name,field_name,field_value,language,translation
stops,stop_name,柳原,ja-Hrkt,やなぎはら
stops,stop_name,柳原,en,Yanagihara
stops,stop_name,柴崎,ja-Hrkt,しばさき
stops,stop_name,柴崎,en,shibazaki
stops,stop_name,寄居,ja-Hrkt,よりい
stops,stop_name,寄居,en,Yorii
stops,stop_name,下大類,ja-Hrkt,しもおおるい
stops,stop_name,下大類,en,Simo Oorui
stops,stop_name,綿貫入口,ja-Hrkt,わたぬきいりぐち
stops,stop_name,綿貫入口,en,Watanuki Iriguchi
stops,stop_name,慈眼寺裏,ja-Hrkt,じげんじうら
stops,stop_name,慈眼寺裏,en,Jigenji ura(Jigenji Temple)
stops,stop_name,上滝,ja-Hrkt,かみたき
stops,stop_name,上滝,en,Kamitaki
stops,stop_name,榎町,ja-Hrkt,えのきまち
stops,stop_name,榎町,en,Enoki-machi
stops,stop_name,板井団地入口,ja-Hrkt,いたいだんちいりぐち
stops,stop_name,板井団地入口,en,Itaidanchi Iriguchi
stops,stop_name,板井,ja-Hrkt,いたい
stops,stop_name,板井,en,Itai
stops,stop_name,辰巳,ja-Hrkt,たつみ
stops,stop_name,辰巳,en,Tatsumi
stops,stop_name,斉田,ja-Hrkt,さいだ
stops,stop_name,斉田,en,Saida
stops,stop_name,玉村高校,ja-Hrkt,たまむらこうこう
stops,stop_name,玉村高校,en,Tamamura Koukou(Tamamura H.S.)
stops,stop_name,四丁目角,ja-Hrkt,よんちょうめかど
stops,stop_name,四丁目角,en,4chome kado
stops,stop_name,玉村五丁目,ja-Hrkt,たまむらごちょうめ
stops,stop_name,玉村五丁目,en,Tamamura 5chome
stops,stop_name,玉村六丁目,ja-Hrkt,たまむらろくちょうめ
stops,stop_name,玉村六丁目,en,Tamamura 6chome
stops,stop_name,玉村町役場南,ja-Hrkt,たまむらまちやくばみなみ
stops,stop_name,玉村町役場南,en,Tamamura-machi yakuba minami(South of Tamamura Town Hall)
stops,stop_name,県立女子大学,ja-Hrkt,けんりつじょしだいがく
stops,stop_name,県立女子大学,en,KenritsuJoshidaigaku(Gunma Prefectural Women's University)
stops,stop_name,矢中町入口,ja-Hrkt,やなかまちいりぐち
stops,stop_name,矢中町入口,en,Yanaka-machi Iriguchi
stops,stop_name,玉村町役場入口,ja-Hrkt,たまむらまちやくばいりぐち
stops,stop_name,玉村町役場入口,en,Tamamura-machi yakuba Iriguchi(Near Tamamura Town Hall)
